data,pressao_atm,temp_med_dia,umid_relativa,veloc_vento,prec_total,dose,temp_max_dia,temp_min_dia,dia_juliano,dia_semana,data_unix,est_inverno,est_outono,est_primavera,est_verao,dir_vento_E,dir_vento_N,dir_vento_NE,dir_vento_NW,dir_vento_S,dir_vento_SE,dir_vento_SW,dir_vento_W,freq_intern,idade_med,dias_intern_med,idade_mod,dias_intern_mod,freq_intern_1d,freq_intern_2d,freq_intern_3d,freq_intern_4d,freq_intern_5d
2020-06-03,1016.1791666666667,14.045833333333334,88.33333333333333,1.0333333333333334,1.2000000000000002,8.986142,19.6,11.4,155,2,1591142400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22,64.0,5.5,3.0,1,22.0,22.0,17.0,12.0,20.0
2020-06-04,1017.1750000000001,16.099999999999998,84.08333333333333,1.5374999999999999,0.0,11.203376,22.0,13.4,156,3,1591228800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,52.5,3.0,59.0,1,22.0,17.0,12.0,20.0,18.0
2020-06-05,1013.0333333333333,17.145833333333332,91.58333333333333,1.6833333333333333,17.2,2.218419,18.9,16.2,157,4,1591315200,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,63.5,5.5,59.0,10,17.0,12.0,20.0,18.0,22.0
2020-06-06,1007.7583333333333,15.716666666666667,80.75,1.9916666666666665,20.400000000000002,3.0488269999999997,17.7,13.7,158,5,1591401600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,58.0,6.0,48.0,6,12.0,20.0,18.0,22.0,15.0
2020-06-07,1010.4041666666667,15.458333333333334,83.625,1.3291666666666666,0.2,5.249716,18.1,13.4,159,6,1591488000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12,63.0,10.0,55.0,3,20.0,18.0,22.0,15.0,19.0
2020-06-08,1011.5083333333333,14.9,84.91666666666667,0.7666666666666666,0.0,12.113114,20.7,11.1,160,0,1591574400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,55.0,7.5,55.0,2,18.0,22.0,15.0,19.0,11.0
2020-06-09,1008.6625,15.7125,86.375,1.2791666666666666,0.0,3.2346769999999996,18.4,14.6,161,1,1591660800,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,67.5,6.0,77.0,6,22.0,15.0,19.0,11.0,17.0
2020-06-10,1006.6666666666666,15.375,88.70833333333333,1.2583333333333335,8.2,4.97992,19.6,12.0,162,2,1591747200,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,39.5,8.0,71.0,8,15.0,19.0,11.0,17.0,25.0
2020-06-11,1005.8000000000001,18.233333333333334,92.79166666666667,0.8666666666666667,3.8000000000000003,5.430904000000001,21.4,16.8,163,3,1591833600,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,43.0,4.0,1.0,2,19.0,11.0,17.0,25.0,19.0
2020-06-12,1002.3708333333334,20.941666666666666,86.70833333333333,1.0916666666666666,1.0,9.167757000000002,26.6,17.2,164,4,1591920000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,49.0,8.0,8.0,5,11.0,17.0,25.0,19.0,23.0
